                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2156,                  6.375,                 3.5665,                0.02395,                0.08007,                0.01135,                0.00315,                 3.1714,                 4.1016,                 2.4861,             0.00022125,             0.00022125,             0.00022125
                      2,                 2.6496,                 3.4259,                 1.8486,                0.10577,                0.22851,                0.08572,                0.03669,                 2.1205,                 2.8183,                  1.572,             0.00044065,             0.00044065,             0.00044065
                      3,                 2.0686,                 2.7725,                 1.4361,                0.14342,                0.21861,                0.11505,                0.05938,                 1.6819,                 2.5511,                 1.3562,             0.00065713,             0.00065713,             0.00065713
                      4,                 1.8182,                 2.5216,                 1.3035,                0.15949,                0.35409,                0.15943,                0.09078,                 1.5219,                 2.2076,                 1.2363,             0.00065379,             0.00065379,             0.00065379
                      5,                 1.7028,                 2.3276,                 1.2363,                0.18236,                0.40107,                0.18959,                0.11644,                 1.3664,                 2.0643,                 1.1556,             0.00065379,             0.00065379,             0.00065379
                      6,                 1.5875,                 2.2012,                 1.1882,                0.18704,                0.47165,                0.21303,                 0.1339,                 1.3125,                 2.0212,                 1.1462,             0.00064939,             0.00064939,             0.00064939
                      7,                 1.5098,                 2.1031,                 1.1517,                0.22452,                0.40753,                0.21233,                0.13095,                 1.3922,                 2.0097,                 1.1632,             0.00064499,             0.00064499,             0.00064499
                      8,                 1.4525,                 2.0308,                 1.1264,                0.26371,                0.45634,                 0.2706,                0.18102,                 1.1961,                 1.8303,                 1.0921,             0.00064059,             0.00064059,             0.00064059
                      9,                 1.3936,                 1.9545,                 1.1027,                 0.2701,                0.43252,                0.28442,                0.18864,                 1.1808,                 1.8255,                 1.0804,             0.00063618,             0.00063618,             0.00063618
                     10,                 1.3604,                 1.9248,                 1.0892,                0.25736,                0.46352,                0.28571,                0.19447,                  1.142,                 1.8038,                 1.0598,             0.00063178,             0.00063178,             0.00063178
                     11,                 1.3287,                 1.8873,                 1.0844,                0.29545,                0.46803,                0.33243,                0.23458,                 1.0752,                  1.747,                 1.0338,             0.00062738,             0.00062738,             0.00062738
                     12,                 1.2989,                 1.8256,                 1.0658,                 0.3567,                0.43388,                0.35911,                0.25858,                 1.0558,                 1.6756,                 1.0298,             0.00062298,             0.00062298,             0.00062298
                     13,                 1.2542,                  1.785,                 1.0558,                0.35947,                0.47139,                0.36943,                0.26064,                 1.0688,                 1.6484,                 1.0352,             0.00061858,             0.00061858,             0.00061858
                     14,                 1.2332,                 1.7557,                 1.0517,                0.36734,                0.46171,                0.39351,                0.28799,                 1.0086,                 1.5966,                 1.0176,             0.00061417,             0.00061417,             0.00061417
                     15,                 1.2325,                 1.7213,                 1.0437,                0.38278,                0.51068,                0.42227,                0.30981,                 1.0031,                 1.5518,                 1.0091,             0.00060977,             0.00060977,             0.00060977
                     16,                 1.2038,                 1.6878,                 1.0363,                0.39353,                0.49408,                0.43068,                0.31971,                0.98039,                 1.5344,                 1.0021,             0.00060537,             0.00060537,             0.00060537
                     17,                 1.1862,                 1.6524,                 1.0332,                0.44786,                0.51823,                0.46778,                0.35036,                0.95991,                 1.4501,                 1.0001,             0.00060097,             0.00060097,             0.00060097
                     18,                 1.1841,                 1.6217,                  1.024,                0.45313,                0.51705,                0.48985,                0.36837,                0.94364,                 1.4375,                0.98987,             0.00059656,             0.00059656,             0.00059656
                     19,                  1.161,                 1.5914,                 1.0192,                 0.4763,                 0.5084,                0.50382,                0.37769,                0.96156,                 1.3896,                0.99573,             0.00059216,             0.00059216,             0.00059216
                     20,                  1.141,                 1.5504,                 1.0154,                0.46574,                0.51284,                0.49685,                0.37629,                 0.9352,                 1.4273,                0.98489,             0.00058776,             0.00058776,             0.00058776
                     21,                 1.1326,                 1.5372,                 1.0066,                 0.4632,                0.54351,                0.52435,                0.39861,                 0.9292,                 1.3543,                0.98299,             0.00058336,             0.00058336,             0.00058336
                     22,                  1.112,                  1.498,                 1.0031,                0.48588,                0.54807,                0.55566,                0.43205,                 0.8868,                  1.305,                0.97236,             0.00057896,             0.00057896,             0.00057896
                     23,                 1.1199,                 1.5023,                 1.0064,                0.50276,                0.53005,                0.54539,                0.41897,                0.90119,                  1.316,                0.97719,             0.00057455,             0.00057455,             0.00057455
                     24,                 1.0799,                 1.4465,                0.99732,                0.54103,                0.56294,                0.59459,                0.46064,                0.87353,                 1.2414,                 0.9638,             0.00057015,             0.00057015,             0.00057015
                     25,                 1.0768,                 1.4278,                0.99364,                0.55024,                0.55206,                0.59163,                0.45805,                0.87184,                 1.2389,                0.96469,             0.00056575,             0.00056575,             0.00056575
                     26,                 1.0689,                 1.3963,                0.99181,                 0.5568,                0.55924,                0.60372,                0.47441,                0.86251,                 1.2092,                0.96346,             0.00056135,             0.00056135,             0.00056135
                     27,                 1.0578,                 1.4005,                0.98669,                0.55369,                0.55843,                 0.6018,                0.47435,                0.84653,                 1.2082,                0.95835,             0.00055694,             0.00055694,             0.00055694
                     28,                 1.0559,                 1.3835,                0.97969,                0.57149,                0.59264,                0.62829,                0.48914,                0.87196,                 1.1651,                0.96152,             0.00055254,             0.00055254,             0.00055254
                     29,                 1.0472,                  1.357,                0.98381,                 0.5755,                0.59863,                0.63583,                0.50154,                0.85654,                   1.16,                0.95804,             0.00054814,             0.00054814,             0.00054814
                     30,                 1.0453,                 1.3411,                0.97762,                0.58239,                0.59029,                0.62573,                0.47593,                0.93737,                 1.1784,                 0.9756,             0.00054374,             0.00054374,             0.00054374
                     31,                  1.033,                  1.321,                0.97447,                0.60734,                0.59653,                  0.661,                0.52079,                0.84477,                 1.1131,                0.95266,             0.00053934,             0.00053934,             0.00053934
                     32,                 1.0137,                 1.3061,                0.97148,                0.61943,                0.60483,                0.66704,                  0.528,                0.81963,                 1.1082,                0.94666,             0.00053493,             0.00053493,             0.00053493
                     33,                 1.0221,                 1.3097,                0.97245,                0.63677,                0.59073,                0.66929,                 0.5327,                0.82215,                 1.0981,                0.94483,             0.00053053,             0.00053053,             0.00053053
                     34,                 1.0147,                 1.2831,                 0.9679,                0.61489,                 0.6177,                0.68148,                0.54322,                0.80824,                 1.0666,                0.94461,             0.00052613,             0.00052613,             0.00052613
                     35,                0.98932,                 1.2557,                0.96303,                0.62641,                0.61012,                 0.6796,                0.54021,                  0.804,                 1.0738,                0.93999,             0.00052173,             0.00052173,             0.00052173
                     36,                0.97979,                 1.2428,                0.95917,                0.65076,                0.61427,                0.69168,                0.54973,                0.81403,                 1.0507,                0.94063,             0.00051733,             0.00051733,             0.00051733
                     37,                0.98735,                 1.2426,                0.96153,                0.67743,                0.60562,                0.69911,                0.56232,                0.78689,                 1.0396,                0.93382,             0.00051292,             0.00051292,             0.00051292
                     38,                0.96391,                 1.2122,                0.95502,                0.65181,                0.59547,                0.68553,                0.54858,                0.78332,                 1.0593,                0.92815,             0.00050852,             0.00050852,             0.00050852
                     39,                0.98064,                 1.2085,                0.95572,                0.69024,                 0.6159,                0.71708,                0.57792,                0.76913,                 0.9853,                0.92809,             0.00050412,             0.00050412,             0.00050412
                     40,                0.95306,                 1.1947,                 0.9496,                0.65734,                0.63413,                0.70914,                0.56678,                0.77845,                  1.011,                0.92606,             0.00049972,             0.00049972,             0.00049972
                     41,                0.95254,                 1.1772,                0.94733,                0.68046,                0.62977,                0.72557,                0.58802,                0.75976,                0.97142,                0.92301,             0.00049531,             0.00049531,             0.00049531
                     42,                0.95684,                  1.178,                0.94774,                0.69675,                0.63379,                0.72878,                0.58623,                0.76876,                0.96567,                0.92169,             0.00049091,             0.00049091,             0.00049091
                     43,                0.94199,                 1.1581,                0.94995,                0.67787,                0.62943,                0.72194,                0.58542,                0.75932,                0.98007,                0.91965,             0.00048651,             0.00048651,             0.00048651
                     44,                0.93613,                 1.1366,                0.94037,                0.67628,                0.65641,                0.73886,                0.59696,                0.76548,                0.94325,                0.92221,             0.00048211,             0.00048211,             0.00048211
                     45,                0.93295,                  1.131,                0.94342,                0.69662,                0.63241,                0.73422,                0.59548,                0.74802,                0.94735,                0.91991,             0.00047771,             0.00047771,             0.00047771
                     46,                0.92411,                 1.1199,                0.93753,                0.70789,                0.63729,                0.73582,                0.60153,                0.73436,                0.93825,                0.91294,              0.0004733,              0.0004733,              0.0004733
                     47,                0.92087,                  1.108,                0.94123,                0.68737,                0.65889,                 0.7459,                 0.6006,                0.76745,                0.92769,                0.92062,              0.0004689,              0.0004689,              0.0004689
                     48,                0.91292,                 1.1008,                0.93886,                0.70886,                0.65147,                0.75391,                0.61302,                0.74677,                0.91341,                0.91669,              0.0004645,              0.0004645,              0.0004645
                     49,                 0.9139,                 1.0992,                0.93554,                0.73138,                0.64996,                0.75872,                0.61692,                0.74685,                0.90896,                0.91897,              0.0004601,              0.0004601,              0.0004601
                     50,                0.90865,                 1.0816,                0.93569,                0.71533,                0.67315,                0.76645,                0.62466,                0.73523,                0.88871,                0.91221,             0.00045569,             0.00045569,             0.00045569
